# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = Curated_gene_sets:reactome_acetylcholine_binding_and_downstream_events (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 2.89171e-09
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET5_   ENSG00000186951    22   46546424   46639653    364      63  295879      0.23867      0.40568

# _SET6_  VARIABLE = GO_cc:go_acetylcholine_gated_channel_complex (set)
# _SET6_  NGENES = 17
# _SET6_  P-VALUE = 2.7156e-09
_SET6_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET6_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET6_   ENSG00000138435     2  175612320  175629200     70      16  297943     0.061893      0.47532
_SET6_   ENSG00000135902     2  233390703  233401377     44      14  300165      0.70361      0.24084
_SET6_   ENSG00000196811     2  233404437  233411113     38      14  292338    -0.053443      0.52131
_SET6_   ENSG00000174343     4   40337346   40357234    130      17  305488     -0.44644      0.67236
_SET6_   ENSG00000164506     6  147525561  147706866    476      43  295137       2.6985    0.0034826
_SET6_   ENSG00000120903     8   27317279   27337400    115      28  299972       1.6944     0.045092
_SET6_   ENSG00000147432     8   42552519   42592550    226      11  306982       1.1795      0.11909
_SET6_   ENSG00000147434     8   42607763   42651535    146      26  300642        4.187   1.4134e-05
_SET6_   ENSG00000166664    15   30653443   30686052      2       1  271750       1.0999      0.13568
_SET6_   ENSG00000175344    15   32322691   32464722    440      88  294138     -0.59285      0.72336
_SET6_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET6_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET6_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET6_   ENSG00000108556    17    4801069    4806369     35      15  295100       1.3564     0.087489
_SET6_   ENSG00000170175    17    7348380    7361026     43      11  295533       1.8092     0.035207
_SET6_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14

# _SET7_  VARIABLE = GO_mf:go_acetylcholine_receptor_activity (set)
# _SET7_  NGENES = 23
# _SET7_  P-VALUE = 1.5658e-06
_SET7_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET7_   ENSG00000143412     1  150954493  150968110     45      15  298911     -0.46706      0.67977
_SET7_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET7_   ENSG00000133019     1  239549865  240078750   2243     160  289951      0.78624      0.21586
_SET7_   ENSG00000138435     2  175612320  175629200     70      16  297943     0.061893      0.47532
_SET7_   ENSG00000135902     2  233390703  233401377     44      14  300165      0.70361      0.24084
_SET7_   ENSG00000196811     2  233404437  233411113     38      14  292338    -0.053443      0.52131
_SET7_   ENSG00000181072     7  136553416  136705002    627      59  299393     -0.98126      0.83677
_SET7_   ENSG00000120903     8   27317279   27337400    115      28  299972       1.6944     0.045092
_SET7_   ENSG00000147432     8   42552519   42592550    226      11  306982       1.1795      0.11909
_SET7_   ENSG00000147434     8   42607763   42651535    146      26  300642        4.187   1.4134e-05
_SET7_   ENSG00000180720    11   46406640   46408107      1       1  312821      0.20701        0.418
_SET7_   ENSG00000168539    11   62676151   62689279     39      14  305275     -0.23651      0.59348
_SET7_   ENSG00000166664    15   30653443   30686052      2       1  271750       1.0999      0.13568
_SET7_   ENSG00000175344    15   32322691   32464722    440      88  294138     -0.59285      0.72336
_SET7_   ENSG00000184984    15   34260921   34357291    377      33  302095      0.46082      0.32246
_SET7_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET7_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET7_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET7_   ENSG00000108556    17    4801069    4806369     35      15  295100       1.3564     0.087489
_SET7_   ENSG00000170175    17    7348380    7361026     43      11  295533       1.8092     0.035207
_SET7_   ENSG00000134489    18   22040593   22059921     78      26  304221       1.3172     0.093891
_SET7_   ENSG00000101180    20   60790026   60795323     14      10  304817      0.76301      0.22273
_SET7_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14

# _SET8_  VARIABLE = GO_mf:go_acetylcholine_binding (set)
# _SET8_  NGENES = 17
# _SET8_  P-VALUE = 1.544e-06
_SET8_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET8_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET8_   ENSG00000133019     1  239549865  240078750   2243     160  289951      0.78624      0.21586
_SET8_   ENSG00000138435     2  175612320  175629200     70      16  297943     0.061893      0.47532
_SET8_   ENSG00000135902     2  233390703  233401377     44      14  300165      0.70361      0.24084
_SET8_   ENSG00000196811     2  233404437  233411113     38      14  292338    -0.053443      0.52131
_SET8_   ENSG00000087085     7  100487615  100494594     24      12  297268      -2.2101      0.98645
_SET8_   ENSG00000120903     8   27317279   27337400    115      28  299972       1.6944     0.045092
_SET8_   ENSG00000147432     8   42552519   42592550    226      11  306982       1.1795      0.11909
_SET8_   ENSG00000147434     8   42607763   42651535    146      26  300642        4.187   1.4134e-05
_SET8_   ENSG00000166664    15   30653443   30686052      2       1  271750       1.0999      0.13568
_SET8_   ENSG00000175344    15   32322691   32464722    440      88  294138     -0.59285      0.72336
_SET8_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET8_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET8_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET8_   ENSG00000108556    17    4801069    4806369     35      15  295100       1.3564     0.087489
_SET8_   ENSG00000170175    17    7348380    7361026     43      11  295533       1.8092     0.035207
_SET8_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14

# _SET9_  VARIABLE = GO_mf:go_acetylcholine_gated_cation_selective_channel_activity (set)
# _SET9_  NGENES = 16
# _SET9_  P-VALUE = 1.3439e-07
_SET9_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET9_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET9_   ENSG00000138435     2  175612320  175629200     70      16  297943     0.061893      0.47532
_SET9_   ENSG00000135902     2  233390703  233401377     44      14  300165      0.70361      0.24084
_SET9_   ENSG00000196811     2  233404437  233411113     38      14  292338    -0.053443      0.52131
_SET9_   ENSG00000174343     4   40337346   40357234    130      17  305488     -0.44644      0.67236
_SET9_   ENSG00000120903     8   27317279   27337400    115      28  299972       1.6944     0.045092
_SET9_   ENSG00000147432     8   42552519   42592550    226      11  306982       1.1795      0.11909
_SET9_   ENSG00000147434     8   42607763   42651535    146      26  300642        4.187   1.4134e-05
_SET9_   ENSG00000129749    11    3686817    3692614     30       8  305543     -0.11898      0.54735
_SET9_   ENSG00000175344    15   32322691   32464722    440      88  294138     -0.59285      0.72336
_SET9_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET9_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET9_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET9_   ENSG00000108556    17    4801069    4806369     35      15  295100       1.3564     0.087489
_SET9_   ENSG00000170175    17    7348380    7361026     43      11  295533       1.8092     0.035207
_SET9_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14
