ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000162989	KCNJ3	2	155554811	155714863	1	protein_coding	3760	KCNJ3	0.989708242851416	0.283382572	50	12.4	1.68e-11	rs1445649;rs62170823	21
ENSG00000136560	TANK	2	161993419	162092732	1	protein_coding	10010	TANK	0.943798417923446	-0.173837867	10	15	1.19e-08	rs11678980	22
ENSG00000144290	SLC4A10	2	162280843	162841792	1	protein_coding	57282	SLC4A10	0.00263554372615494	-1.247633013	33	11.62	1.25e-14	rs12474587	23
ENSG00000197635	DPP4	2	162848751	162931052	-1	protein_coding	1803	DPP4	4.05740539448844e-10	-0.569170405	25	17.21	3.92e-14	rs12474587;rs12995983;rs4664446	23
ENSG00000170035	UBE2E3	2	181831975	181941312	1	protein_coding	10477	UBE2E3	0.653907525579768	NA	249	18.77	5.4e-06	rs6433897	24
ENSG00000162972	C2orf47	2	200820040	200873263	1	protein_coding	79568	C2orf47	0.00977968048221656	0.25313821	2	14.16	2.45e-07	rs2107300	25
ENSG00000144460	NYAP2	2	226265364	226518734	1	protein_coding	57624	NYAP2	0.906196258132315	0.188825347	65	18.19	1.32e-08	rs4674993	26
ENSG00000114646	CSPG5	3	47603729	47622282	-1	protein_coding	10675	CSPG5	0.414829723073552	-0.836073243	23	18.27	4.88e-08	rs11716779	28
ENSG00000173473	SMARCC1	3	47626762	47823596	-1	protein_coding	6599	SMARCC1	0.999999593393603	-1.102862391	144	18.27	1.14e-07	rs11716779	28
ENSG00000132153	DHX30	3	47844399	47891685	1	protein_coding	22907	DHX30	0.999999462569762	NA	39	19.6	1.35e-07	rs11716779	28
ENSG00000047849	MAP4	3	47892182	48130769	-1	protein_coding	4134	MAP4	0.99884872439436	-0.836308624	165	18.98	4.9e-08	rs11716779	28
ENSG00000164061	BSN	3	49591922	49708978	1	protein_coding	8927	BSN	0.999999992077176	-1.285114003	50	11.57	2.75e-08	rs6809879	29
ENSG00000164062	APEH	3	49711435	49721396	1	protein_coding	327	APEH	0.0132157073381975	-0.27180506	3	13.52	8.41e-08	rs6809879	29
ENSG00000173531	MST1	3	49721380	49726934	-1	protein_coding	4485	MST1	1.72735679966035e-10	0.158165154	2	13.52	8.41e-08	rs6809879	29
ENSG00000164068	RNF123	3	49726932	49758962	1	protein_coding	63891	RNF123	0.969714693858756	-0.46199081	8	22.4	6.43e-08	rs6809879	29
ENSG00000176020	AMIGO3	3	49754267	49761349	-1	protein_coding	386724	AMIGO3	7.50516210752013e-06	NA	7	22.4	4.45e-08	rs6809879	29
ENSG00000173540	GMPPB	3	49754277	49761384	-1	protein_coding	29925	GMPPB	8.24535896597197e-05	-0.65955402	7	22.4	4.45e-08	rs6809879	29
ENSG00000176095	IP6K1	3	49761727	49823975	-1	protein_coding	9807	IP6K1	0.235179980766781	-2.10342675	29	22.4	4.45e-08	rs6809879	29
ENSG00000187492	CDHR4	3	49828165	49837268	-1	protein_coding	389118	CDHR4	0.0134739491219744	0.043609676	8	18.12	1.89e-08	rs6809879	29
ENSG00000185614	FAM212A	3	49840687	49842463	1	protein_coding	389119	FAM212A	0.000589161385315042	NA	5	18.12	1.89e-08	rs6809879	29
ENSG00000182179	UBA7	3	49842640	49851379	-1	protein_coding	7318	UBA7	2.68227797741532e-14	-0.315380801	7	18.12	1.89e-08	rs6809879	29
ENSG00000183763	TRAIP	3	49866034	49894007	-1	protein_coding	10293	TRAIP	0.125103591601554	-0.132254904	17	14.37	6.45e-10	rs6809879;rs62260755	29
ENSG00000164076	CAMKV	3	49895421	49907655	-1	protein_coding	79012	CAMKV	0.996846171233152	-0.638322632	6	14.37	6.45e-10	rs6809879;rs62260755	29
ENSG00000164078	MST1R	3	49924435	49941299	-1	protein_coding	4486	MST1R	1.6934911102813e-20	-0.377644955	1	2.445	NA	rs62260755	29
ENSG00000164077	MON1A	3	49946302	49967606	-1	protein_coding	84315	MON1A	0.00636811048934964	-0.629673162	1	6.474	NA	rs62260755	29
ENSG00000004534	RBM6	3	49977440	50137478	1	protein_coding	10180	RBM6	0.999999963583324	-0.685653183	24	11.4	1.09e-07	rs62260755	29
ENSG00000003756	RBM5	3	50126341	50156454	1	protein_coding	10181	RBM5	0.999999469802352	-0.605888711	6	6.95	7.21e-08	rs62260755	29
ENSG00000001617	SEMA3F	3	50192478	50226508	1	protein_coding	6405	SEMA3F	0.999917700468544	NA	33	19.09	4.78e-10	rs12632110	29
ENSG00000114349	GNAT1	3	50229045	50233949	1	protein_coding	2779	GNAT1	2.50523154178956e-06	-0.274733411	17	14.65	4.78e-10	rs12632110	29
ENSG00000162267	ITIH3	3	52828784	52843025	1	protein_coding	3699	ITIH3	6.66881160948057e-12	0.023184955	2	4.385	5.68e-08	rs2276825	30
ENSG00000055955	ITIH4	3	52846991	52865495	-1	protein_coding	3700	ITIH4	4.63110952740984e-05	0.372344058	21	22.3	2.84e-08	rs2276825	30
ENSG00000243696	RP5-966M1.6	3	52847298	52869745	-1	protein_coding	NA	NA	NA	NA	21	22.3	2.84e-08	rs2276825	30
ENSG00000272573	MUSTN1	3	52867130	52869235	-1	protein_coding	389125	MUSTN1	0.00175218786439621	0.119815547	16	22.3	2.84e-08	rs2276825	30
ENSG00000248592	TMEM110-MUSTN1	3	52867137	52931578	-1	protein_coding	100526772	TMEM110-MUSTN1	0.684628071972952	NA	40	22.3	2.38e-08	rs2276825	30
ENSG00000213533	TMEM110	3	52870235	52931612	-1	protein_coding	375346	TMEM110	0.901349032819805	0.932919987	40	22.3	2.38e-08	rs2276825	30
ENSG00000163935	SFMBT1	3	52937588	53080766	-1	protein_coding	51460	SFMBT1	0.99589420844432	-0.337614121	95	13.12	1.28e-07	rs2276825	30
ENSG00000272305	RP11-894J14.5	3	53003135	53133469	-1	protein_coding	NA	NA	NA	NA	60	13.18	1.99e-07	rs2276825	30
ENSG00000175161	CADM2	3	85008132	86123579	1	protein_coding	253559	CADM2	0.984668909563275	0.117806454	1137	20.6	1.91e-17	rs9990096;rs9810724;rs6788098;rs62250661;rs62263913;rs4856278;rs13068138;rs57533494;rs9812779;rs10084664;rs73138150	32
ENSG00000185565	LSAMP	3	115521235	117716095	-1	protein_coding	4045	LSAMP	0.946283746572624	NA	128	20.5	3.73e-10	rs1154693;rs1392265	33
ENSG00000250038	RP11-180C1.1	4	28363901	28404486	-1	protein_coding	NA	NA	NA	NA	119	15.97	8.27e-09	rs11931423;rs292071	34
ENSG00000152208	GRID2	4	93225550	94695707	1	protein_coding	2895	GRID2	0.999998446555818	-0.76016799	201	15.11	7.2e-09	rs1160685	36
ENSG00000196782	MAML3	4	140637907	141075338	-1	protein_coding	55534	MAML3	0.32989504838315	-0.192465137	137	18.84	9.59e-11	rs1355334;rs17314804;rs34973539	38
ENSG00000137473	TTC29	4	147627790	147867034	-1	protein_coding	83894	TTC29	1.57133321621439e-06	-0.637384565	171	24.3	6.65e-12	rs34470581;rs10001365;rs3827592;rs10019569	39
ENSG00000164181	ELOVL7	5	60047618	60140216	-1	protein_coding	79993	ELOVL7	0.00156092226554038	-0.509656607	24	14.58	3.49e-09	rs6893752	40
ENSG00000049167	ERCC8	5	60169658	60240900	-1	protein_coding	1161	ERCC8	8.5728345941739e-09	1.00092408	16	12.61	1.08e-08	rs6893752	40
ENSG00000164182	NDUFAF2	5	60240956	60448853	1	protein_coding	91942	NDUFAF2	3.85650772594405e-07	0.323766514	40	20.5	3.25e-09	rs6893752	40
ENSG00000188725	SMIM15	5	60453536	60458301	-1	protein_coding	643155	SMIM15	0.228320204389897	-1.971179943	3	5.861	5.84e-09	rs6893752	40
ENSG00000164180	TMEM161B	5	87485450	87565293	-1	protein_coding	153396	TMEM161B	0.00368500214116822	0.012315634	45	13.41	9.3e-12	rs35301639;rs4571506	41
ENSG00000175471	MCTP1	5	94039446	94620279	-1	protein_coding	79772	MCTP1	0.00988911824115707	-0.289821442	8	7.75	2.64e-10	rs27003;rs40590	42
ENSG00000184349	EFNA5	5	106712590	107006596	-1	protein_coding	1946	EFNA5	0.889436552296034	-0.042471419	54	18.93	5.01e-10	rs17534089;rs25973	44
ENSG00000145934	TENM2	5	166711804	167691162	1	protein_coding	57451	TENM2	0.999951089930002	NA	93	21.1	6.08e-14	rs4044321;rs13157086;rs1024993	47
ENSG00000170899	GSTA4	6	52842751	52860176	-1	protein_coding	2941	GSTA4	0.0213022543085222	1.062271089	4	4.738	2.63e-08	rs222449	48
ENSG00000112144	ICK	6	52866077	52926600	-1	protein_coding	22858	ICK	0.10744982933628	-3.137767737	29	15	1.08e-08	rs222449	48
ENSG00000112146	FBXO9	6	52916789	52965671	1	protein_coding	26268	FBXO9	0.734879394524417	0.303856229	26	11.57	1.08e-08	rs222449	48
ENSG00000135298	BAI3	6	69345259	70099403	1	protein_coding	577	BAI3	0.99999996623609	-0.90297798	9	11.34	4.18e-08	rs10945141	50
ENSG00000112249	ASCC3	6	100956070	101329248	-1	protein_coding	10973	ASCC3	1.42788116112326e-10	0.106685768	400	20.8	3.87e-09	rs846799;rs9390702	53
ENSG00000118689	FOXO3	6	108881038	109005977	1	protein_coding	2309	FOXO3	NA	-1.487759766	66	17.37	1.93e-08	rs531111;rs3800227	54
ENSG00000112394	SLC16A10	6	111408781	111552397	1	protein_coding	117247	SLC16A10	0.0676070063771054	NA	2	9.3	5.67e-09	rs240963;rs77000205;rs142570493	55
ENSG00000173214	KIAA1919	6	111580551	111592370	1	protein_coding	91749	KIAA1919	4.15684682168897e-05	-0.962430891	11	11.22	1.07e-16	rs240999;rs240963;rs77000205;rs173285;rs9487668	55
ENSG00000009413	REV3L	6	111620234	111804918	-1	protein_coding	5980	REV3L	0.999999999999932	NA	81	20.8	2.16e-17	rs240963;rs77000205;rs173285;rs9487668;rs118081854;rs142570493	55
ENSG00000056972	TRAF3IP2	6	111877657	111927481	-1	protein_coding	10758	TRAF3IP2	7.10960921485341e-05	-1.024439801	50	17.56	7.89e-16	rs9487668;rs240963;rs77000205;rs174373;rs174401;rs174410;rs174397;rs6926543	55
ENSG00000225968	ELFN1	7	1727755	1787590	1	protein_coding	392617	ELFN1	0.699066032235909	-0.02251808	3	16.87	1.08e-08	rs4725299;rs10270726	56
ENSG00000205971	AC074389.6	7	1732446	1733961	-1	protein_coding	NA	NA	NA	NA	2	16.87	1.08e-08	rs4725299;rs10270726	56
ENSG00000002822	MAD1L1	7	1855429	2272878	-1	protein_coding	8379	MAD1L1	2.03780827176675e-10	-0.084462652	142	12.95	4.5e-10	rs35109831;rs6948707	56
ENSG00000176349	AC110781.3	7	1878222	1889567	1	protein_coding	NA	NA	NA	NA	43	12.38	4.5e-10	rs6948707	56
ENSG00000146555	SDK1	7	3341080	4308632	1	protein_coding	221935	SDK1	0.00501599676743558	2.23970553	271	18.24	2.29e-10	rs4549681;rs1357311	57
ENSG00000158321	AUTS2	7	69063905	70258054	1	protein_coding	26053	AUTS2	0.996187482008472	-0.774735851	480	20.9	1.34e-09	rs585282;rs12112638	58
ENSG00000006377	DLX6	7	96634860	96640351	1	protein_coding	1750	DLX6	0.842830433475103	-0.587645777	7	6.813	7e-10	rs2240294;rs11768481	59
ENSG00000105880	DLX5	7	96649704	96654409	-1	protein_coding	1749	DLX5	0.675979516490967	-0.062332056	3	5.214	1.29e-07	rs11768481	59
ENSG00000241685	ARPC1A	7	98923521	98985787	1	protein_coding	10552	ARPC1A	0.734759682759801	-0.899105714	27	9.365	3.1e-06	rs12333760	60
ENSG00000130429	ARPC1B	7	98971872	98992424	1	protein_coding	10095	ARPC1B	0.156070499348014	NA	16	9.365	2.47e-06	rs12333760	60
ENSG00000106244	PDAP1	7	98989671	99006452	-1	protein_coding	11333	PDAP1	0.00558937831758173	-0.048428312	7	3.38	2.47e-06	rs12333760	60
ENSG00000106245	BUD31	7	99006264	99017239	1	protein_coding	8896	BUD31	0.417010233438905	-0.555611768	19	4.557	2.77e-09	rs12333760	60
ENSG00000106246	PTCD1	7	99014362	99063787	-1	protein_coding	26024	PTCD1	1.77777327849927e-09	-0.453852365	37	13.23	2.02e-09	rs12333760	60
ENSG00000248919	ATP5J2-PTCD1	7	99017372	99063820	-1	protein_coding	100526740	ATP5J2-PTCD1	1.77777327849927e-09	-0.453852365	37	13.23	2.02e-09	rs12333760	60
ENSG00000160917	CPSF4	7	99036545	99054994	1	protein_coding	10898	CPSF4	0.629613784158072	-0.248950493	17	13.23	2.57e-09	rs12333760	60
ENSG00000214314	AC073063.1	7	99040552	99040747	1	protein_coding	NA	NA	NA	NA	8	12.51	2.57e-09	rs12333760	60
ENSG00000241468	ATP5J2	7	99046098	99063954	-1	protein_coding	9551	ATP5J2	0.348503040158147	-0.131071693	15	13.23	2.02e-09	rs12333760	60
ENSG00000198556	ZNF789	7	99070464	99101273	1	protein_coding	285989	ZNF789	7.06159747447558e-08	-0.309224121	16	15.2	2.02e-09	rs12333760	60
ENSG00000160908	ZNF394	7	99084142	99097947	-1	protein_coding	84124	ZNF394	0.0433348237892985	-0.096236978	11	15.2	2.6e-09	rs12333760	60
ENSG00000196652	ZKSCAN5	7	99102274	99132323	1	protein_coding	23660	ZKSCAN5	0.000618302540533773	-0.539497328	16	15.2	2.03e-09	rs12333760	60
ENSG00000221909	FAM200A	7	99143931	99156159	-1	protein_coding	221786	FAM200A	6.00941061236888e-05	-0.916308216	6	7.011	2.46e-09	rs12333760	60
ENSG00000197343	ZNF655	7	99156029	99174076	1	protein_coding	79027	ZNF655	0.0378918199572815	-0.877772812	8	7.011	2.91e-09	rs12333760	60
ENSG00000272647	GS1-259H13.10	7	99156291	99205433	1	protein_coding	NA	NA	NA	NA	16	8.828	1.44e-09	rs12333760	60
ENSG00000106258	CYP3A5	7	99245817	99277621	-1	protein_coding	1577	CYP3A5	5.21037691769514e-11	0.202148792	1	1.772	5.3e-08	rs12333760	60
ENSG00000160870	CYP3A7	7	99302660	99332819	-1	protein_coding	1551	CYP3A7	2.92836029852247e-07	0.4325473	1	0.017	8.13e-06	rs12333760	60
ENSG00000077063	CTTNBP2	7	117350705	117514193	-1	protein_coding	83992	CTTNBP2	2.59915879681031e-06	-0.293652714	35	16.03	2.75e-14	rs13239186;rs10233278;rs7801539;rs10233018	61
ENSG00000131558	EXOC4	7	132937829	133751342	1	protein_coding	60412	EXOC4	0.000726958108385659	0.416473338	87	15.46	5e-09	rs10279261	62
ENSG00000120899	PTK2B	8	27168999	27316903	1	protein_coding	2185	PTK2B	0.984520870569303	-0.296269216	1	0.386	1.49e-07	rs11780471	63
ENSG00000120903	CHRNA2	8	27317279	27337400	-1	protein_coding	1135	CHRNA2	0.00176647920423662	2.564201934	2	1.338	5.69e-12	rs11780471	63
ENSG00000120915	EPHX2	8	27348296	27403081	1	protein_coding	2053	EPHX2	4.92248524715445e-13	1.72964059	9	2.947	7.66e-16	rs11780471;rs1565735;rs7839435;rs73229090	63
ENSG00000120885	CLU	8	27454434	27472548	-1	protein_coding	1191	CLU	NA	0.073359274	32	8.654	1.56e-15	rs7814146;rs11777131;rs7828131;rs73229090;rs7839435	63
ENSG00000198846	TOX	8	59717977	60031767	-1	protein_coding	9760	TOX	0.892971024523591	-0.504010053	81	17.65	3.9e-14	rs17230460;rs13261666;rs17296353	64
ENSG00000123119	NECAB1	8	91803778	91971636	1	protein_coding	64168	NECAB1	0.377811814333756	-1.692524673	207	15.43	1.2e-08	rs2631024	66
ENSG00000253250	C8orf88	8	91970865	91997485	-1	protein_coding	100127983	C8orf88	NA	NA	37	9.055	1.18e-08	rs2631024	66
ENSG00000155099	TMEM55A	8	92006024	92053292	-1	protein_coding	55529	TMEM55A	0.0219903647102958	-0.8625993	35	14.11	1.48e-08	rs2631024	66
ENSG00000204682	CASC10	10	21781587	21786191	-1	protein_coding	399726	CASC10	0.02005486166772	-1.904040172	11	14.69	1.11e-11	rs10159545;rs7072776	74
ENSG00000180592	SKIDA1	10	21802407	21814611	-1	protein_coding	387640	SKIDA1	NA	-1.174748692	16	22	1.1e-11	rs10159545;rs7072776;rs11012721;rs2050905	74
ENSG00000078403	MLLT10	10	21823094	22032559	1	protein_coding	8028	MLLT10	0.999583699307582	-0.518307189	80	11.8	1.63e-11	rs10159545;rs7072776;rs2050905;rs11012721	74
ENSG00000136770	DNAJC1	10	22045466	22292698	-1	protein_coding	64215	DNAJC1	1.42208526512983e-08	NA	119	15.8	1.6e-10	rs7072776;rs2050905;rs10159545;rs11012787	74
ENSG00000150347	ARID5B	10	63661059	63856703	1	protein_coding	84159	ARID5B	0.999889943413299	-1.139359989	30	21.1	8.26e-13	rs7921378	75
ENSG00000166167	BTRC	10	103113820	103317078	1	protein_coding	8945	BTRC	0.863167823590213	-1.679758539	49	20.6	7.98e-09	rs7901883	76
ENSG00000120029	C10orf76	10	103605356	103815950	-1	protein_coding	79591	C10orf76	0.0553398070733845	0.414157392	2	5.191	3.71e-06	rs12773990	77
ENSG00000166189	HPS6	10	103825147	103827792	1	protein_coding	79803	HPS6	0.301742441643438	-0.084659977	1	0.177	1.32e-06	rs12773990	77
ENSG00000198728	LDB1	10	103867317	103880210	-1	protein_coding	8861	LDB1	0.879454004833888	NA	3	19.57	9e-07	rs11594623	77
ENSG00000148840	PPRC1	10	103892787	103910082	1	protein_coding	23082	PPRC1	0.999999327553735	-0.462640235	1	6.631	1.35e-06	rs11594623	77
ENSG00000166197	NOLC1	10	103911933	103923627	1	protein_coding	9221	NOLC1	0.246823454180935	-0.402925614	4	3.249	3.99e-06	rs11594623	77
ENSG00000119915	ELOVL3	10	103986085	103989346	1	protein_coding	83401	ELOVL3	0.0100893512709736	-0.633402699	14	21.5	2.9e-09	rs11594623;rs3781295	77
ENSG00000107859	PITX3	10	103989943	104001231	-1	protein_coding	5309	PITX3	0.768360298132641	-0.341080311	22	21.5	2.9e-09	rs3781295	77
ENSG00000107862	GBF1	10	104005289	104142656	1	protein_coding	8729	GBF1	4.12350724274109e-07	-0.078015129	97	17.41	6.93e-10	rs3781295;rs11594623;rs12773990;rs11574851	77
ENSG00000077150	NFKB2	10	104153867	104162281	1	protein_coding	4791	NFKB2	0.999696457724303	-0.681516998	13	13.97	1.03e-08	rs3781295;rs12773990;rs11574851;rs4919637	77
ENSG00000059915	PSD	10	104162376	104181296	-1	protein_coding	5662	PSD	0.987334022305881	NA	17	17.2	1.03e-08	rs12773990;rs11574851;rs4919637;rs3781295	77
ENSG00000107872	FBXL15	10	104178946	104182893	1	protein_coding	79176	FBXL15	0.00210111721413477	-1.739745767	11	17.2	2.05e-07	rs3781295;rs4919637	77
ENSG00000107874	CUEDC2	10	104183002	104192418	-1	protein_coding	79004	CUEDC2	0.0719074383771385	-0.180115673	16	17.2	2.71e-09	rs4919637;rs3781295	77
ENSG00000120055	C10orf95	10	104209594	104211300	-1	protein_coding	79946	C10orf95	0.0113912343253953	-0.659447928	17	15.54	4.71e-10	rs4919637;rs12773990;rs3740417	77
ENSG00000138111	TMEM180	10	104221149	104236802	1	protein_coding	79847	TMEM180	0.000178664408567319	2.882749821	40	15.95	1.61e-06	rs12241712;rs11593710	77
ENSG00000138107	ACTR1A	10	104238986	104262482	-1	protein_coding	10121	ACTR1A	0.941234073723515	-0.272535339	32	17.87	1.45e-05	rs11593710;rs12241712	77
ENSG00000107882	SUFU	10	104263744	104393292	1	protein_coding	51684	SUFU	0.99916148458521	0.124860143	125	17.96	9.45e-09	rs11593710;rs12241712	77
ENSG00000171206	TRIM8	10	104404253	104418164	1	protein_coding	81603	TRIM8	0.992012340638519	-0.521290389	20	15.49	2.7e-13	rs11593710;rs12241712;rs12764388;rs12776506	77
ENSG00000138175	ARL3	10	104433488	104474164	-1	protein_coding	403	ARL3	0.716101006738786	-0.600025748	35	22.7	6.74e-10	rs12776506;rs12241712;rs11593710;rs12764388	77
ENSG00000156398	SFXN2	10	104474295	104503249	1	protein_coding	118980	SFXN2	0.00108457408549622	-0.837011237	22	22.7	1.11e-14	rs12776506;rs12241712;rs12764388;rs11593710;rs284855;rs12356821	77
ENSG00000166272	WBP1L	10	104503727	104576021	1	protein_coding	54838	WBP1L	0.909387313715096	0.614640467	41	19.26	6.27e-15	rs12356821;rs12776506;rs284855;rs12775431;rs1163248;rs12244388	77
ENSG00000148795	CYP17A1	10	104590288	104597290	-1	protein_coding	1586	CYP17A1	0.0350306078051602	0.086681977	37	12.96	2.26e-12	rs12775431;rs12776506;rs12244388;rs284855;rs1163248	77
ENSG00000166275	C10orf32	10	104613980	104624718	1	protein_coding	119032	C10orf32	0.0316378611332373	0.490358211	42	12.93	2.58e-14	rs12244388;rs284855;rs12775431;rs1163248;rs12764899	77
ENSG00000270316	C10orf32-ASMT	10	104614029	104661656	1	protein_coding	100528007	C10orf32-ASMT	NA	NA	113	15.93	1.65e-14	rs12244388;rs284855;rs12775431;rs1163248;rs12764899;rs11191467;rs11191435;rs12356821	77
ENSG00000214435	AS3MT	10	104629273	104661656	1	protein_coding	57412	AS3MT	5.09137965873753e-07	0.726881178	97	15.93	1.65e-14	rs12775431;rs12244388;rs284855;rs12764899;rs11191467;rs11191435;rs12356821	77
ENSG00000148842	CNNM2	10	104678050	104849978	1	protein_coding	54805	CNNM2	0.994106430518482	-0.511524122	256	16.23	2.27e-14	rs12244388;rs11191467;rs11191435;rs12356821;rs12775431;rs1163248;rs34758128	77
ENSG00000076685	NT5C2	10	104845940	104953056	-1	protein_coding	22978	NT5C2	0.0521978626707803	0.04832858	185	22.7	2.75e-13	rs12244388;rs12356821;rs11191435;rs12775431;rs11191467;rs34758128;rs1163248;rs12764899	77
ENSG00000235376	RPEL1	10	105005644	105007773	1	protein_coding	729020	RPEL1	0.00239907188012324	NA	1	1.514	2.77e-07	rs1163248	77
ENSG00000121898	CPXM2	10	125465723	125699783	-1	protein_coding	119587	CPXM2	1.82592014923893e-10	0.18406051	1	0.056	3.21e-08	rs9423279	78
ENSG00000175393	OR10A6	11	7949180	7950209	-1	protein_coding	390093	OR10A6	8.59245281840639e-09	0.281619276	26	16.49	1.55e-08	rs4523689	79
ENSG00000170683	OR10A3	11	7960081	7961141	-1	protein_coding	26496	OR10A3	4.36193036936385e-09	0.479127046	22	12.36	1.55e-08	rs4523689	79
ENSG00000182261	NLRP10	11	7980971	7986973	-1	protein_coding	338322	NLRP10	5.09582300313282e-12	0.493903205	4	13.84	1.57e-05	rs4523689	79
ENSG00000175390	EIF3F	11	7991798	8023409	1	protein_coding	8665	EIF3F	0.669067337550454	4.357179615	1	2.059	1.57e-05	rs4523689	79
ENSG00000205213	LGR4	11	27387508	27494322	-1	protein_coding	55366	LGR4	0.994112645257008	0.243578277	1	18.27	NA	rs12577586	80
ENSG00000148943	LIN7C	11	27516123	27528320	-1	protein_coding	55327	LIN7C	0.0300652295135779	-0.643347175	12	4.942	1.99e-08	rs12577586;rs10835211	80
ENSG00000176697	BDNF	11	27676440	27743605	-1	protein_coding	627	BDNF	0.946719308479018	0.108206454	66	22.5	3.77e-12	rs6265;rs10835211	80
ENSG00000074266	EED	11	85955586	85989855	1	protein_coding	8726	EED	0.997671033484958	-0.584695152	16	10.02	1.56e-08	rs7929518	82
ENSG00000149196	C11orf73	11	86013253	86056969	1	protein_coding	51501	C11orf73	0.769988210012451	0.041512225	4	14.82	9.76e-05	rs7929518	82
ENSG00000110777	POU2AF1	11	111222977	111326355	-1	protein_coding	5450	POU2AF1	0.752817874787067	1.808851197	3	12.25	6.09e-07	rs74373890	83
ENSG00000255093	RP11-794P6.2	11	111322064	111328876	1	protein_coding	NA	NA	NA	NA	3	12.25	6.09e-07	rs74373890	83
ENSG00000137707	BTG4	11	111338251	111383079	-1	protein_coding	54766	BTG4	0.256389240572353	NA	3	1.418	1.62e-07	rs74373890	83
ENSG00000183644	C11orf88	11	111385510	111407756	1	protein_coding	399949	C11orf88	0.0986136578440954	NA	1	1.418	1.62e-07	rs74373890	83
